valid,step,train,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
,568,0.36495620012283325,,,,,
,389,,0.36495620012283325,10,,,
,570,0.3650246262550354,,,,,
,571,0.3534106910228729,,,,,
,572,0.3578824996948242,,,,,
,573,0.3550760746002197,,,,,
,574,0.3593115210533142,,,,,
,394,,0.3593115210533142,10,,,
,576,0.3625272512435913,,,,,
0.36384591460227966,577,,,,,,
,40,,,,0.36384591460227966,,
0.37481018900871277,579,,,,,,
,41,,,,0.37481018900871277,,
0.37273529171943665,581,,,,,,
,42,,,,0.37273529171943665,,
0.36616212129592896,583,,,,,,
,43,,,,0.36616212129592896,,
,395,,,10,,0.3693883717060089,
,395,,,10,,,0.36607110500335693
,587,0.3731849491596222,,,,,
,588,0.3667433559894562,,,,,
,589,0.3705480396747589,,,,,
,590,0.37196165323257446,,,,,
,399,,0.37196165323257446,11,,,
,592,0.3656979501247406,,,,,
,593,0.373941570520401,,,,,
,594,0.3629698157310486,,,,,
,595,0.35905084013938904,,,,,
,596,0.38173186779022217,,,,,
,404,,0.38173186779022217,11,,,
,598,0.36189016699790955,,,,,
,599,0.3583424389362335,,,,,
,600,0.34998685121536255,,,,,
,601,0.3704243302345276,,,,,
,602,0.36648038029670715,,,,,
,409,,0.36648038029670715,11,,,
,604,0.36725008487701416,,,,,
,605,0.3640440106391907,,,,,
,606,0.37140652537345886,,,,,
,607,0.36052900552749634,,,,,
,608,0.37280234694480896,,,,,
,414,,0.37280234694480896,11,,,
,610,0.3693154454231262,,,,,
,611,0.3608173131942749,,,,,
,612,0.3500114679336548,,,,,
,613,0.3672471046447754,,,,,
,614,0.3741733729839325,,,,,
,419,,0.3741733729839325,11,,,
,616,0.3589365780353546,,,,,
,617,0.361876517534256,,,,,
,618,0.375549852848053,,,,,
,619,0.35694485902786255,,,,,
,620,0.3625287711620331,,,,,
,424,,0.3625287711620331,11,,,
,622,0.35818982124328613,,,,,
,623,0.36183443665504456,,,,,
,624,0.35500863194465637,,,,,
,625,0.3540491759777069,,,,,
,626,0.3580331802368164,,,,,
,429,,0.3580331802368164,11,,,
,628,0.3572770655155182,,,,,
,629,0.3591075539588928,,,,,
0.3608645498752594,630,,,,,,
,44,,,,0.3608645498752594,,
0.3718176782131195,632,,,,,,
,45,,,,0.3718176782131195,,
0.3700253665447235,634,,,,,,
,46,,,,0.3700253665447235,,
0.3630339503288269,636,,,,,,
,47,,,,0.3630339503288269,,
,431,,,11,,0.3664354085922241,
,431,,,11,,,0.3641635477542877
,640,0.370250940322876,,,,,
,641,0.36294981837272644,,,,,
,642,0.3689475953578949,,,,,
,434,,0.3689475953578949,12,,,
,644,0.36740779876708984,,,,,
,645,0.36378714442253113,,,,,
,646,0.36970391869544983,,,,,
,647,0.3601994216442108,,,,,
,648,0.35574477910995483,,,,,
,439,,0.35574477910995483,12,,,
,650,0.3816269636154175,,,,,
,651,0.3563413619995117,,,,,
,652,0.3560245931148529,,,,,
,653,0.34335049986839294,,,,,
,654,0.36703935265541077,,,,,
,444,,0.36703935265541077,12,,,
,656,0.36298978328704834,,,,,
,657,0.36195892095565796,,,,,
,658,0.36244210600852966,,,,,
,659,0.36628350615501404,,,,,
,660,0.35879969596862793,,,,,
,449,,0.35879969596862793,12,,,
,662,0.36622121930122375,,,,,
,663,0.36822816729545593,,,,,
,664,0.3569779098033905,,,,,
,665,0.350715309381485,,,,,
,666,0.36854952573776245,,,,,
,454,,0.36854952573776245,12,,,
,668,0.3701518177986145,,,,,
,669,0.3621405363082886,,,,,
,670,0.35415709018707275,,,,,
,671,0.37569499015808105,,,,,
,672,0.35146141052246094,,,,,
,459,,0.35146141052246094,12,,,
,674,0.36128199100494385,,,,,
,675,0.35710737109184265,,,,,
,676,0.36040401458740234,,,,,
,677,0.35253259539604187,,,,,
,678,0.35202768445014954,,,,,
,464,,0.35202768445014954,12,,,
,680,0.35347235202789307,,,,,
,681,0.35610440373420715,,,,,
,682,0.35808512568473816,,,,,
0.358108788728714,683,,,,,,
,48,,,,0.358108788728714,,
0.36909106373786926,685,,,,,,
,49,,,,0.36909106373786926,,
0.3673952519893646,687,,,,,,
,50,,,,0.3673952519893646,,
0.35990363359451294,689,,,,,,
,51,,,,0.35990363359451294,,
,467,,,12,,0.3636246919631958,
